date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20170501,2017-05-01,1,5,May,Q2,2017,18,Monday,0
20170502,2017-05-02,2,5,May,Q2,2017,18,Tuesday,0
20170503,2017-05-03,3,5,May,Q2,2017,18,Wednesday,0
20170504,2017-05-04,4,5,May,Q2,2017,18,Thursday,0
20170505,2017-05-05,5,5,May,Q2,2017,18,Friday,0
20170506,2017-05-06,6,5,May,Q2,2017,18,Saturday,1
20170507,2017-05-07,7,5,May,Q2,2017,18,Sunday,1
20170508,2017-05-08,8,5,May,Q2,2017,19,Monday,0
20170509,2017-05-09,9,5,May,Q2,2017,19,Tuesday,0
20170510,2017-05-10,10,5,May,Q2,2017,19,Wednesday,0
20170511,2017-05-11,11,5,May,Q2,2017,19,Thursday,0
20170512,2017-05-12,12,5,May,Q2,2017,19,Friday,0
20170513,2017-05-13,13,5,May,Q2,2017,19,Saturday,1
20170514,2017-05-14,14,5,May,Q2,2017,19,Sunday,1
20170515,2017-05-15,15,5,May,Q2,2017,20,Monday,0
20170516,2017-05-16,16,5,May,Q2,2017,20,Tuesday,0
20170517,2017-05-17,17,5,May,Q2,2017,20,Wednesday,0
20170518,2017-05-18,18,5,May,Q2,2017,20,Thursday,0
20170519,2017-05-19,19,5,May,Q2,2017,20,Friday,0
20170520,2017-05-20,20,5,May,Q2,2017,20,Saturday,1
20170521,2017-05-21,21,5,May,Q2,2017,20,Sunday,1
20170522,2017-05-22,22,5,May,Q2,2017,21,Monday,0
20170523,2017-05-23,23,5,May,Q2,2017,21,Tuesday,0
20170524,2017-05-24,24,5,May,Q2,2017,21,Wednesday,0
20170525,2017-05-25,25,5,May,Q2,2017,21,Thursday,0
20170526,2017-05-26,26,5,May,Q2,2017,21,Friday,0
20170527,2017-05-27,27,5,May,Q2,2017,21,Saturday,1
20170528,2017-05-28,28,5,May,Q2,2017,21,Sunday,1
20170529,2017-05-29,29,5,May,Q2,2017,22,Monday,0
20170530,2017-05-30,30,5,May,Q2,2017,22,Tuesday,0
20170531,2017-05-31,31,5,May,Q2,2017,22,Wednesday,0
20170601,2017-06-01,1,6,June,Q2,2017,22,Thursday,0
20170602,2017-06-02,2,6,June,Q2,2017,22,Friday,0
20170603,2017-06-03,3,6,June,Q2,2017,22,Saturday,1
20170604,2017-06-04,4,6,June,Q2,2017,22,Sunday,1
20170605,2017-06-05,5,6,June,Q2,2017,23,Monday,0
